,ID_movie,title,director
0,0,12 Years a Slave,Steve McQueen
1,1,2 Guns,Baltasar Kormakur
2,2,42,Brian Helgeland
3,3,About Time,Richard Curtis
4,4,Adore,Anne Fontaine
5,5,After Earth,M. Night Shyamalan
6,6,American Hustle,David O. Russell
7,7,Anchorman 2: The Legend Continues,Adam McKay
8,8,Austenland,Jerusha Hess
9,9,Bad Grandpa,Jeff Tremaine
10,10,Baggage Claim,David E. Talbert
11,11,Battle of the Year,Benson Lee
12,12,Behind the Candelabra,Steven Soderbergh
13,13,Big Sur,Michael Polish
14,14,Blue Jasmine,Woody Allen
15,15,C.O.G.,Kyle Patrick Alvarez
16,16,CBGB,Randall Miller
17,17,Captain Phillips,Paul Greengrass
18,18,Carrie,Kimberly Peirce
19,19,Cloudy with a Chance of Meatballs 2,Cody Cameron
19,19,Cloudy with a Chance of Meatballs 2,Kris Pearn
20,20,Curse of Chucky,Don Mancini
21,21,Despicable Me 2,Pierre Coffin
21,21,Despicable Me 2,Chris Renaud
22,22,Dom Hemingway,Richard Shepard
23,23,Elysium,Neill Blomkamp
24,24,Empire State,Dito Montiel
25,25,Ender's Game,Gavin Hood
26,26,Enough Said,Nicole Holofcener
27,27,Epic,Chris Wedge
28,28,Escape Plan,Mikael Hafstrom
29,29,Escape from Tomorrow,Randy Moore
30,30,Evil Dead,Fede Alvarez
31,31,Filth,Jon S. Baird
32,32,Frozen,Chris Buck
32,32,Frozen,Jennifer Lee
33,33,Furious 6,Justin Lin
34,34,G.I. Joe: Retaliation,Jon M. Chu
35,35,Gangster Squad,Ruben Fleischer
36,36,Generation Iron,Vlad Yudin
37,37,Ghost Team One,Ben Peyser
37,37,Ghost Team One,Scott Rutherford
38,38,Gravity,Alfonso Cuaron
39,39,Grown Ups 2,Dennis Dugan
40,40,Hansel & Gretel: Witch Hunters,Tommy Wirkola
41,41,Homefront,Gary Fleder
42,42,Hummingbird,Steven Knight
43,43,I Spit on Your Grave 2,Steven R. Monroe
44,44,Insidious: Chapter 2,James Wan
45,45,Iron Man 3,Shane Black
46,46,Kill Your Darlings,John Krokidas
47,47,Lone Survivor,Peter Berg
48,48,Machete Kills,Robert Rodriguez
49,49,Man of Steel,Zack Snyder
50,50,Metallica Through the Never,Nimrod Antal
51,51,Monsters University,Dan Scanlon
52,52,Movie 43,Elizabeth Banks
52,52,Movie 43,Steven Brill
52,52,Movie 43,Steve Carr
53,53,Nebraska,Alexander Payne
54,54,No se Aceptan Devoluciones,Eugenio Derbez
55,55,Now You See Me,Louis Leterrier
56,56,Oblivion,Joseph Kosinski
57,57,Oldboy,Spike Lee
58,58,Olympus Has Fallen,Antoine Fuqua
59,59,One Chance,David Frankel
60,60,One Direction: This Is Us,Morgan Spurlock
61,61,Only God Forgives,Nicolas Winding Refn
62,62,Oz the Great and Powerful,Sam Raimi
63,63,Pacific Rim,Guillermo del Toro
64,64,Pain & Gain,Michael Bay
65,65,Paranoia,Robert Luketic
66,66,Parkland,Peter Landesman
67,67,Percy Jackson: Sea of Monsters,Thor Freudenthal
68,68,Planes,Klay Hall
69,69,Prisoners,Denis Villeneuve
70,70,R.I.P.D.,Robert Schwentke
71,71,Red 2,Dean Parisot
72,72,Riddick,David Twohy
73,73,Romeo and Juliet,Carlo Carlei
74,74,Runner Runner,Brad Furman
75,75,Rush,Ron Howard
76,76,Safe Haven,Lasse Hallstrom
77,77,Scenic Route,Kevin Goetz
77,77,Scenic Route,Michael Goetz
78,78,Side Effects,Steven Soderbergh
79,79,Star Trek Into Darkness,J.J. Abrams
80,80,Stoker,Chan-wook Park
81,81,The Bling Ring,Sofia Coppola
82,82,The Butler,Lee Daniels
83,83,The Call,Brad Anderson
84,84,The Colony,Jeff Renfroe
85,85,The Conjuring,James Wan
86,86,The Counselor,Ridley Scott
87,87,The Croods,Kirk De Micco
87,87,The Croods,Chris Sanders
88,88,The East,Zal Batmanglij
89,89,The Family,Luc Besson
90,90,The Fifth Estate,Bill Condon
91,91,The Frozen Ground,Scott Walker
92,92,The Great Gatsby,Baz Luhrmann
93,93,The Hangover Part III,Todd Phillips
94,94,The Heat,Paul Feig
95,95,The Hobbit: The Desolation of Smaug,Peter Jackson
96,96,The Host,Andrew Niccol
97,97,The Hunger Games: Catching Fire,Francis Lawrence
98,98,The Internship,Shawn Levy
99,99,The Kings of Summer,Jordan Vogt-Roberts
100,100,The Last Days on Mars,Ruairi Robinson
101,101,The Lone Ranger,Gore Verbinski
102,102,The Mortal Instruments: City of Bones,Harald Zwart
103,103,The Purge,James DeMonaco
104,104,The Smurfs 2,Raja Gosnell
105,105,The Spectacular Now,James Ponsoldt
106,106,The Way Way Back,Nat Faxon
106,106,The Way Way Back,Jim Rash
107,107,The Wolf of Wall Street,Martin Scorsese
108,108,The Wolverine,James Mangold
109,109,The World's End,Edgar Wright
110,110,This Is the End,Evan Goldberg
110,110,This Is the End,Seth Rogen
111,111,Thor: The Dark World,Alan Taylor
112,112,Trance,Danny Boyle
113,113,Turbo,David Soren
114,114,V/H/S/2,Simon Barrett
114,114,V/H/S/2,Jason Eisener
114,114,V/H/S/2,Gareth Evans
115,115,Warm Bodies,Jonathan Levine
116,116,We Are What We Are,Jim Mickle
117,117,We're the Millers,Rawson Marshall Thurber
118,118,White House Down,Roland Emmerich
119,119,World War Z,Marc Forster
120,120,Zero Charisma,Katie Graham
120,120,Zero Charisma,Andrew Matthews
121,121,jOBS,Joshua Michael Stern
